Reference,Year,Category,Main Contribution,AETHEL Enhancement / Gap Filled,Manuscript Section
Hussain et al. (2016),2016,Background Reviews,Quantifies the risk of bias and power loss caused by missing data in clinical trials.,"AETHEL addresses this risk by simulating missing data in its robustness sweeps, mapping failure thresholds under clinical data corruption.",Introduction / Discussion
Boehmer et al. (2016),2016,Background Reviews,Evidence supporting minimally disruptive medicine to reduce patient treatment burden.,"AETHEL supports this philosophy by validating clinical decision utility, preventing unnecessary treatment harms and patient burden.",Introduction / Discussion
Davenport et al. (2019),2019,Background Reviews,A broad survey of AI technologies and their implementation in healthcare.,AETHEL addresses the deployment challenges identified by Davenport by providing a robust validation framework.,Introduction
Zadrozny et al. (2001),2001,Calibration,Popularized isotonic regression and Platt scaling for non-neural network classifiers.,AETHEL directly implements Zadrozny's calibration methods (Platt scaling and Isotonic regression) in its calibration module.,Methods / Results
Niculescu-Mizil et al. (2005),2005,Calibration,Discovered the characteristic calibration distortions of ensemble and margin classifiers.,"AETHEL builds on these findings, applying Platt scaling to XGBoost models under transfer shift to correct margin distortions.",Methods / Results
Sr. et al. (2008),2008,Clinical Risk Prediction,The widely used Framingham general CVD risk prediction algorithm.,AETHEL utilizes the Framingham cohort dataset as an external target validation cohort to test models trained on synthetic or demographic sources.,Introduction / Methods / Results
Jr. et al. (2014),2014,Clinical Risk Prediction,PCE equations for ASCVD risk estimation in primary prevention.,"AETHEL benchmarks its machine learning models against the PCE variables and uses the standard treatment decision thresholds (e.g., 7.5% and 20%) in its DCA audits.",Introduction / Discussion
Hippisley-Cox et al. (2017),2017,Clinical Risk Prediction,QRISK3 risk prediction algorithm incorporating clinical comorbidities.,"AETHEL's multi-cohort registry implements feature harmonization similar to QRISK3 variables (e.g., incorporating renal and metabolic markers).",Introduction / Discussion
Mesinovic et al. (2023),2023,Clinical Risk Prediction,Comprehensive mapping of XAI methods to clinical risk prediction paradigms.,"AETHEL directly implements the recommendation of this survey by creating quantitative metrics (FAS, TkO) to validate explanation stability.",Introduction / Methods / Discussion
Martino et al. (2023),2023,Clinical Risk Prediction,ML pipeline for malnutrition prediction with post-hoc explainability.,AETHEL expands on this approach by analyzing explainability drift (FAS) specifically during demographic transfer.,Methods / Discussion
Pedro A. Moreno-Sánchez (2023),2023,Clinical Risk Prediction,SHAP-based feature selection method for heart failure risk prediction.,AETHEL extends this by showing that post-hoc calibration does not degrade discrimination but improves calibration reliability under shift.,Results / Discussion
Luo et al. (2023),2023,Clinical Risk Prediction,LLM-integrated clinical explanation reports for tree-based risk predictors.,"AETHEL focuses on rigorous quantitative auditing (FAS, ECE, DCA) rather than qualitative LLM texts to guarantee clinical safety.",Introduction / Discussion
